attack_type,attack_params,defense_type,total_loss,da_seg_acc,da_seg_iou,da_seg_miou,ll_seg_acc,ll_seg_iou,ll_seg_miou,p,r,map50,map,t_inf,t_nms,epsilon
uap,"{'attack_type': 'uap', 'epsilon': 2.6, 'num_pixels': None, 'channel': None}",noise_0.2,0.6713524659474691,0.8356445915316358,0.00036780271938135535,0.4180011696490926,0.0,0.0,0.4958784541377315,0.006209251785159888,0.027210884353741496,0.005137064651354355,0.002520048231440401,0.50192724665006,0.0005143086115519205,2.6
jsma,"{'attack_type': 'jsma', 'epsilon': 0.1, 'num_pixels': 160, 'channel': None}",bitdepth_1,0.6719170808792114,0.8310101393711419,0.011562267137180022,0.421119061343355,0.0021323653072771185,0.0021018726225288634,0.49672145495180764,0.013908205841446454,0.06915629322268327,0.006672800798641135,0.002677528050885137,0.4672424991925557,0.0005411505699157715,0.1
jsma,"{'attack_type': 'jsma', 'epsilon': 9.1, 'num_pixels': 160, 'channel': None}",noise_0.1,0.6722333431243896,0.8150539520640432,0.05175786804850963,0.43243793707449624,0.0011618682324520515,0.0010903459226671156,0.49584780278036317,0.00847816871555744,0.0535475234270415,0.003128810779667093,0.00109518637258042,0.4716678361097972,0.0006428559621175131,9.1
jsma,"{'attack_type': 'jsma', 'epsilon': 9.1, 'num_pixels': 160, 'channel': None}",resize_1280x720,0.6683199604352316,0.809658805941358,0.05134930825454882,0.42942620577431484,0.00353212486789486,0.003266482497288857,0.49648184595379224,0.009206947060054404,0.06656580937972768,0.008385595364662024,0.004926249350562363,0.4800040622552236,0.0004890213410059611,9.1
ccp,"{'attack_type': 'ccp', 'epsilon': 0.1, 'num_pixels': None, 'channel': 'R'}",bitdepth_1,0.6508491635322571,0.8325456934799382,0.018807071134303133,0.4253811733349028,0.006484204664541477,0.00608982350246478,0.4984792910740108,0.04712404712404712,0.19101123595505617,0.09359426510185198,0.03545487405272247,0.44385206202665967,0.00045737624168395996,0.1
uap,"{'attack_type': 'uap', 'epsilon': 1.1, 'num_pixels': None, 'channel': None}",noise_0.3,0.6710244417190552,0.8369605999228394,0.0016137245907200627,0.4192647295636146,0.0,0.0,0.4964301215277778,0.0038370720188902006,0.017980636237897647,0.00020155888442333455,6.0547045090186686e-05,0.46651474634806317,0.00047401587168375653,1.1
jsma,"{'attack_type': 'jsma', 'epsilon': 9.1, 'num_pixels': 110, 'channel': None}",compress_75,0.6647066871325175,0.8399168716242285,0.06765114209104123,0.45281122881335656,0.0048532181947409,0.0042744884091958976,0.4975978432652016,0.01067016098839386,0.08636363636363636,0.007250337766639472,0.003139835484265109,0.45717420677344006,0.0006188501914342245,9.1
fgsm,"{'attack_type': 'fgsm', 'epsilon': 0.1, 'num_pixels': None, 'channel': None}",compress_75,0.6566968560218811,0.8432331452546297,0.01826852135685885,0.43050726600937606,0.0014508792190295575,0.0014419091557902703,0.49652961555896524,0.022571148184494603,0.10730948678071539,0.008684287154169617,0.002453446185838586,0.49177252749602,0.0005666265885035197,0.1
jsma,"{'attack_type': 'jsma', 'epsilon': 0.1, 'num_pixels': 160, 'channel': None}",bitdepth_8,0.6764028072357178,0.8315148775077161,0.08057299601747686,0.4547849742353001,0.0009652140228872409,0.0008927562560371723,0.49569635061461015,0.01075923670320747,0.06883116883116883,0.005338589793705788,0.0019544513471824324,0.5010000218947729,0.0030156423648198447,0.1
jsma,"{'attack_type': 'jsma', 'epsilon': 0.1, 'num_pixels': 610, 'channel': None}",compress_50,0.6825993259747823,0.8217651668595679,0.05004108989687253,0.43507082578676076,0.0018500563746186405,0.0016258521401878246,0.49645307345126216,0.007281048470979821,0.04660452729693742,0.00167118485905559,0.0011077119497973705,0.43932458261648816,0.00037012497584025067,0.1
jsma,"{'attack_type': 'jsma', 'epsilon': 9.1, 'num_pixels': 10, 'channel': None}",blur_5x5_default,0.6764717896779379,0.8371601924189815,0.042057392437304754,0.43898176779754566,0.002493562461334639,0.0021225901203383575,0.4967135573676462,0.010467289719626169,0.07272727272727272,0.0035617111514858893,0.0011114427754606079,0.44889047741889954,0.0004273553689320882,9.1
