attack_type,attack_params,defense_type,total_loss,da_seg_acc,da_seg_iou,da_seg_miou,ll_seg_acc,ll_seg_iou,ll_seg_miou,p,r,map50,map,t_inf,t_nms
uap,"{'attack_type': 'uap', 'epsilon': 8.6, 'num_pixels': None, 'channel': None}",blur_7x7_reflect,0.6573571960131327,0.8404090108989197,0.0,0.42020450544945986,0.0,0.0,0.4961767276716821,0.0048525569242254575,0.019345238095238096,0.00011814854751716684,2.622277264216756e-05,0.4726990858713786,0.0003582884867986043
uap,"{'attack_type': 'uap', 'epsilon': 0.6, 'num_pixels': None, 'channel': None}",compress_90,0.6619706948598226,0.812099307966821,0.06526467789508171,0.43741000860380996,0.0007202159566325822,0.0006973372568178051,0.49528620499282255,0.009747041076815966,0.058577405857740586,0.0043615752008887175,0.0019472891078176357,0.46835995217164356,0.0005378772815068563
uap,"{'attack_type': 'uap', 'epsilon': 6.1, 'num_pixels': None, 'channel': None}",compress_50,0.672687292098999,0.8443681278935186,0.0018839826975401985,0.4231026327617491,0.0,0.0,0.4959076304494599,0.002527379949452401,0.012430939226519336,0.0007450786319146595,0.00031568239304959853,0.43384018540382385,0.0003133515516916911
jsma,"{'attack_type': 'jsma', 'epsilon': 0.1, 'num_pixels': 110, 'channel': None}",bitdepth_4,0.678429921468099,0.8297080560378087,0.030207718262919472,0.4295087402975206,0.0019553789429228095,0.0017017504393239773,0.4965236845309929,0.012312513991493173,0.06962025316455696,0.005844401724573312,0.002360337201901582,0.4611796885728836,0.000474393367767334
fgsm,"{'attack_type': 'fgsm', 'epsilon': 0.75, 'num_pixels': None, 'channel': None}",blur_5x5_default,0.6883260607719421,0.8255151668595678,0.0,0.4127575834297839,0.0,0.0,0.49495662736304014,0.0023894862604540022,0.0024479804161566705,3.322259136212625e-05,8.039240268288096e-06,0.4405052711566289,0.0003278205792109172
jsma,"{'attack_type': 'jsma', 'epsilon': 0.1, 'num_pixels': 610, 'channel': None}",blur_9x9_replicate,0.668105959892273,0.8447061873070987,0.10314298790208802,0.4725262977466087,0.005931644914914695,0.004423298604412002,0.4973326492848346,0.014492753623188406,0.11612903225806452,0.019357016790397252,0.010314441738232684,0.4506679177284241,0.0005703965822855631
jsma,"{'attack_type': 'jsma', 'epsilon': 9.1, 'num_pixels': 60, 'channel': None}",noise_0.3,0.6758752663930258,0.8319374517746914,0.04487307850731937,0.4376851613099703,0.0014343823592378507,0.0013097704969308361,0.49668187779162604,0.004483122362869198,0.02533532041728763,0.001130320271722444,0.0010345493762412158,0.45676296452681225,0.0005918095509211222
uap,"{'attack_type': 'uap', 'epsilon': 1.1, 'num_pixels': None, 'channel': None}",blur_7x7_reflect,0.6573571960131327,0.8404090108989197,0.0,0.42020450544945986,0.0,0.0,0.4961767276716821,0.0048525569242254575,0.019345238095238096,0.00011814854751716684,2.622277264216756e-05,0.46250652770201367,0.000442961851755778
jsma,"{'attack_type': 'jsma', 'epsilon': 0.1, 'num_pixels': 160, 'channel': None}",bitdepth_4,0.678429921468099,0.8297080560378087,0.030207718262919472,0.4295087402975206,0.0019553789429228095,0.0017017504393239773,0.4965236845309929,0.012312513991493173,0.06962025316455696,0.005844401724573312,0.002360337201901582,0.45155789454778034,0.0015504608551661174
jsma,"{'attack_type': 'jsma', 'epsilon': 0.1, 'num_pixels': 60, 'channel': None}",blur_9x9_replicate,0.668105959892273,0.8447061873070987,0.10314298790208802,0.4725262977466087,0.005931644914914695,0.004423298604412002,0.4973326492848346,0.014492753623188406,0.11612903225806452,0.019357016790397252,0.010314441738232684,0.48353753983974457,0.0005600998799006144
uap,"{'attack_type': 'uap', 'epsilon': 2.6, 'num_pixels': None, 'channel': None}",noise_0.2,0.6713524659474691,0.8356445915316358,0.00036780271938135535,0.4180011696490926,0.0,0.0,0.4958784541377315,0.006209251785159888,0.027210884353741496,0.005137064651354355,0.002520048231440401,0.4669527510801951,0.0004107256730397542
jsma,"{'attack_type': 'jsma', 'epsilon': 0.1, 'num_pixels': 160, 'channel': None}",bitdepth_1,0.6719170808792114,0.8310101393711419,0.011562267137180022,0.421119061343355,0.0021323653072771185,0.0021018726225288634,0.49672145495180764,0.013908205841446454,0.06915629322268327,0.006672800798641135,0.002677528050885137,0.4388287266095479,0.0003483692804972331
jsma,"{'attack_type': 'jsma', 'epsilon': 9.1, 'num_pixels': 160, 'channel': None}",noise_0.1,0.6722333431243896,0.8150539520640432,0.05175786804850963,0.43243793707449624,0.0011618682324520515,0.0010903459226671156,0.49584780278036317,0.00847816871555744,0.0535475234270415,0.003128810779667093,0.00109518637258042,0.4490860253572464,0.0003975778818130493
jsma,"{'attack_type': 'jsma', 'epsilon': 9.1, 'num_pixels': 160, 'channel': None}",resize_1280x720,0.6683199604352316,0.809658805941358,0.05134930825454882,0.42942620577431484,0.00353212486789486,0.003266482497288857,0.49648184595379224,0.009206947060054404,0.06656580937972768,0.008385595364662024,0.004926249350562363,0.4425571908553441,0.0003962516784667969
ccp,"{'attack_type': 'ccp', 'epsilon': 0.1, 'num_pixels': None, 'channel': 'R'}",bitdepth_1,0.6508491635322571,0.8325456934799382,0.018807071134303133,0.4253811733349028,0.006484204664541477,0.00608982350246478,0.4984792910740108,0.04712404712404712,0.19101123595505617,0.09359426510185198,0.03545487405272247,0.4642160435517629,0.0004797329505284627
uap,"{'attack_type': 'uap', 'epsilon': 1.1, 'num_pixels': None, 'channel': None}",noise_0.3,0.6710244417190552,0.8369605999228394,0.0016137245907200627,0.4192647295636146,0.0,0.0,0.4964301215277778,0.0038370720188902006,0.017980636237897647,0.00020155888442333455,6.0547045090186686e-05,0.448956365386645,0.00047004222869873047
