attack_type,attack_params,defense_type,total_loss
uap,"{'attack_type': 'uap', 'epsilon': 8.6, 'num_pixels': None, 'channel': None}",blur_7x7_reflect,0.6573571960131327
ccp,"{'attack_type': 'ccp', 'epsilon': 0.1, 'num_pixels': None, 'channel': 'B'}",resize_1280x720,0.6415339509646097
uap,"{'attack_type': 'uap', 'epsilon': 0.6, 'num_pixels': None, 'channel': None}",compress_90,0.6619706948598226
uap,"{'attack_type': 'uap', 'epsilon': 6.1, 'num_pixels': None, 'channel': None}",compress_50,0.672687292098999
jsma,"{'attack_type': 'jsma', 'epsilon': 0.1, 'num_pixels': 110, 'channel': None}",bitdepth_4,0.678429921468099
ccp,"{'attack_type': 'ccp', 'epsilon': 5.0, 'num_pixels': None, 'channel': 'B'}",compress_75,0.6271315614382426
fgsm,"{'attack_type': 'fgsm', 'epsilon': 0.75, 'num_pixels': None, 'channel': None}",blur_5x5_default,0.6883260607719421
jsma,"{'attack_type': 'jsma', 'epsilon': 0.1, 'num_pixels': 610, 'channel': None}",blur_9x9_replicate,0.668105959892273
jsma,"{'attack_type': 'jsma', 'epsilon': 9.1, 'num_pixels': 60, 'channel': None}",noise_0.3,0.6758752663930258
uap,"{'attack_type': 'uap', 'epsilon': 1.1, 'num_pixels': None, 'channel': None}",blur_7x7_reflect,0.6573571960131327
uap,"{'attack_type': 'uap', 'epsilon': 2.1, 'num_pixels': None, 'channel': None}",blur_9x9_replicate,0.644318421681722
ccp,"{'attack_type': 'ccp', 'epsilon': 15.0, 'num_pixels': None, 'channel': 'R'}",bitdepth_4,0.632082204023997
jsma,"{'attack_type': 'jsma', 'epsilon': 0.1, 'num_pixels': 160, 'channel': None}",bitdepth_4,0.678429921468099
jsma,"{'attack_type': 'jsma', 'epsilon': 0.1, 'num_pixels': 60, 'channel': None}",blur_9x9_replicate,0.668105959892273
ccp,"{'attack_type': 'ccp', 'epsilon': 2.5, 'num_pixels': None, 'channel': 'R'}",bitdepth_4,0.632082204023997
uap,"{'attack_type': 'uap', 'epsilon': 2.6, 'num_pixels': None, 'channel': None}",noise_0.2,0.6713524659474691
jsma,"{'attack_type': 'jsma', 'epsilon': 0.1, 'num_pixels': 160, 'channel': None}",bitdepth_1,0.6719170808792114
ccp,"{'attack_type': 'ccp', 'epsilon': 0.1, 'num_pixels': None, 'channel': 'R'}",bitdepth_8,0.617868443330129
jsma,"{'attack_type': 'jsma', 'epsilon': 9.1, 'num_pixels': 160, 'channel': None}",noise_0.1,0.6722333431243896
uap,"{'attack_type': 'uap', 'epsilon': 8.1, 'num_pixels': None, 'channel': None}",blur_9x9_replicate,0.644318421681722
jsma,"{'attack_type': 'jsma', 'epsilon': 9.1, 'num_pixels': 160, 'channel': None}",resize_1280x720,0.6683199604352316
ccp,"{'attack_type': 'ccp', 'epsilon': 0.1, 'num_pixels': None, 'channel': 'R'}",bitdepth_1,0.6508491635322571
uap,"{'attack_type': 'uap', 'epsilon': 1.1, 'num_pixels': None, 'channel': None}",noise_0.3,0.6710244417190552
jsma,"{'attack_type': 'jsma', 'epsilon': 9.1, 'num_pixels': 110, 'channel': None}",compress_75,0.6647066871325175
fgsm,"{'attack_type': 'fgsm', 'epsilon': 0.1, 'num_pixels': None, 'channel': None}",compress_75,0.6566968560218811
ccp,"{'attack_type': 'ccp', 'epsilon': 0.03, 'num_pixels': None, 'channel': 'R'}",blur_7x7_reflect,0.5895109176635742
jsma,"{'attack_type': 'jsma', 'epsilon': 0.1, 'num_pixels': 160, 'channel': None}",bitdepth_8,0.6764028072357178
jsma,"{'attack_type': 'jsma', 'epsilon': 0.1, 'num_pixels': 610, 'channel': None}",compress_50,0.6825993259747823
ccp,"{'attack_type': 'ccp', 'epsilon': 15.0, 'num_pixels': None, 'channel': 'G'}",blur_7x7_reflect,0.5895109176635742
jsma,"{'attack_type': 'jsma', 'epsilon': 9.1, 'num_pixels': 10, 'channel': None}",blur_5x5_default,0.6764717896779379
ccp,"{'attack_type': 'ccp', 'epsilon': 2.5, 'num_pixels': None, 'channel': 'R'}",blur_9x9_replicate,0.6186787287394205
ccp,"{'attack_type': 'ccp', 'epsilon': 0.01, 'num_pixels': None, 'channel': 'B'}",noise_0.3,0.6602641145388285
uap,"{'attack_type': 'uap', 'epsilon': 7.1, 'num_pixels': None, 'channel': None}",compress_90,0.6619706948598226
