attack_type,attack_params,defense_type,total_loss,da_seg_acc,da_seg_iou,da_seg_miou,ll_seg_acc,ll_seg_iou,ll_seg_miou,p,r,map50,map,t_inf,t_nms
uap,"{'attack_type': 'uap', 'epsilon': 8.6, 'num_pixels': None, 'channel': None}",blur_7x7_reflect,0.6573571960131327,0.8404090108989197,0.0,0.42020450544945986,0.0,0.0,0.4961767276716821,0.0048525569242254575,0.019345238095238096,0.00011814854751716684,2.622277264216756e-05,0.47605131566524506,0.0003005067507425944
uap,"{'attack_type': 'uap', 'epsilon': 0.6, 'num_pixels': None, 'channel': None}",compress_90,0.6619706948598226,0.812099307966821,0.06526467789508171,0.43741000860380996,0.0007202159566325822,0.0006973372568178051,0.49528620499282255,0.009747041076815966,0.058577405857740586,0.0043615752008887175,0.0019472891078176357,0.4911269545555115,0.0011759201685587566
uap,"{'attack_type': 'uap', 'epsilon': 6.1, 'num_pixels': None, 'channel': None}",compress_50,0.672687292098999,0.8443681278935186,0.0018839826975401985,0.4231026327617491,0.0,0.0,0.4959076304494599,0.002527379949452401,0.012430939226519336,0.0007450786319146595,0.00031568239304959853,0.461812565724055,0.0003526906172434489
jsma,"{'attack_type': 'jsma', 'epsilon': 0.1, 'num_pixels': 110, 'channel': None}",bitdepth_4,0.678429921468099,0.8297080560378087,0.030207718262919472,0.4295087402975206,0.0019553789429228095,0.0017017504393239773,0.4965236845309929,0.012312513991493173,0.06962025316455696,0.005844401724573312,0.002360337201901582,0.48586846391359967,0.0004563331604003906
fgsm,"{'attack_type': 'fgsm', 'epsilon': 0.75, 'num_pixels': None, 'channel': None}",blur_5x5_default,0.6883260607719421,0.8255151668595678,0.0,0.4127575834297839,0.0,0.0,0.49495662736304014,0.0023894862604540022,0.0024479804161566705,3.322259136212625e-05,8.039240268288096e-06,0.46909108261267346,0.0006065269311269125
jsma,"{'attack_type': 'jsma', 'epsilon': 0.1, 'num_pixels': 610, 'channel': None}",blur_9x9_replicate,0.668105959892273,0.8447061873070987,0.10314298790208802,0.4725262977466087,0.005931644914914695,0.004423298604412002,0.4973326492848346,0.014492753623188406,0.11612903225806452,0.019357016790397252,0.010314441738232684,0.4463555763165156,0.0004611859718958537
jsma,"{'attack_type': 'jsma', 'epsilon': 9.1, 'num_pixels': 60, 'channel': None}",noise_0.3,0.6758752663930258,0.8319374517746914,0.04487307850731937,0.4376851613099703,0.0014343823592378507,0.0013097704969308361,0.49668187779162604,0.004483122362869198,0.02533532041728763,0.001130320271722444,0.0010345493762412158,0.4746341456969579,0.00046123067537943524
uap,"{'attack_type': 'uap', 'epsilon': 1.1, 'num_pixels': None, 'channel': None}",blur_7x7_reflect,0.6573571960131327,0.8404090108989197,0.0,0.42020450544945986,0.0,0.0,0.4961767276716821,0.0048525569242254575,0.019345238095238096,0.00011814854751716684,2.622277264216756e-05,0.48777441183725995,0.0008705854415893555
jsma,"{'attack_type': 'jsma', 'epsilon': 0.1, 'num_pixels': 160, 'channel': None}",bitdepth_4,0.678429921468099,0.8297080560378087,0.030207718262919472,0.4295087402975206,0.0019553789429228095,0.0017017504393239773,0.4965236845309929,0.012312513991493173,0.06962025316455696,0.005844401724573312,0.002360337201901582,0.5045011987288793,0.00044787923494974774
jsma,"{'attack_type': 'jsma', 'epsilon': 0.1, 'num_pixels': 60, 'channel': None}",blur_9x9_replicate,0.668105959892273,0.8447061873070987,0.10314298790208802,0.4725262977466087,0.005931644914914695,0.004423298604412002,0.4973326492848346,0.014492753623188406,0.11612903225806452,0.019357016790397252,0.010314441738232684,0.4581480373938878,0.0003508329391479492
uap,"{'attack_type': 'uap', 'epsilon': 2.6, 'num_pixels': None, 'channel': None}",noise_0.2,0.6713524659474691,0.8356445915316358,0.00036780271938135535,0.4180011696490926,0.0,0.0,0.4958784541377315,0.006209251785159888,0.027210884353741496,0.005137064651354355,0.002520048231440401,0.4643239180246989,0.0004289199908574422
jsma,"{'attack_type': 'jsma', 'epsilon': 0.1, 'num_pixels': 160, 'channel': None}",bitdepth_1,0.6719170808792114,0.8310101393711419,0.011562267137180022,0.421119061343355,0.0021323653072771185,0.0021018726225288634,0.49672145495180764,0.013908205841446454,0.06915629322268327,0.006672800798641135,0.002677528050885137,0.44372669359048206,0.0003923773765563965
jsma,"{'attack_type': 'jsma', 'epsilon': 9.1, 'num_pixels': 160, 'channel': None}",noise_0.1,0.6722333431243896,0.8150539520640432,0.05175786804850963,0.43243793707449624,0.0011618682324520515,0.0010903459226671156,0.49584780278036317,0.00847816871555744,0.0535475234270415,0.003128810779667093,0.00109518637258042,0.4668288280566533,0.0006075302759806315
jsma,"{'attack_type': 'jsma', 'epsilon': 9.1, 'num_pixels': 160, 'channel': None}",resize_1280x720,0.6683199604352316,0.809658805941358,0.05134930825454882,0.42942620577431484,0.00353212486789486,0.003266482497288857,0.49648184595379224,0.009206947060054404,0.06656580937972768,0.008385595364662024,0.004926249350562363,0.46558697521686554,0.0010161648193995159
ccp,"{'attack_type': 'ccp', 'epsilon': 0.1, 'num_pixels': None, 'channel': 'R'}",bitdepth_1,0.6508491635322571,0.8325456934799382,0.018807071134303133,0.4253811733349028,0.006484204664541477,0.00608982350246478,0.4984792910740108,0.04712404712404712,0.19101123595505617,0.09359426510185198,0.03545487405272247,0.456815962990125,0.0003581841786702474
uap,"{'attack_type': 'uap', 'epsilon': 1.1, 'num_pixels': None, 'channel': None}",noise_0.3,0.6710244417190552,0.8369605999228394,0.0016137245907200627,0.4192647295636146,0.0,0.0,0.4964301215277778,0.0038370720188902006,0.017980636237897647,0.00020155888442333455,6.0547045090186686e-05,0.4890732020139694,0.0005057205756505331
jsma,"{'attack_type': 'jsma', 'epsilon': 9.1, 'num_pixels': 110, 'channel': None}",compress_75,0.6647066871325175,0.8399168716242285,0.06765114209104123,0.45281122881335656,0.0048532181947409,0.0042744884091958976,0.4975978432652016,0.01067016098839386,0.08636363636363636,0.007250337766639472,0.003139835484265109,0.45995114247004193,0.0004008561372756958
fgsm,"{'attack_type': 'fgsm', 'epsilon': 0.1, 'num_pixels': None, 'channel': None}",compress_75,0.6566968560218811,0.8432331452546297,0.01826852135685885,0.43050726600937606,0.0014508792190295575,0.0014419091557902703,0.49652961555896524,0.022571148184494603,0.10730948678071539,0.008684287154169617,0.002453446185838586,0.46342572073141736,0.00031045575936635333
jsma,"{'attack_type': 'jsma', 'epsilon': 0.1, 'num_pixels': 160, 'channel': None}",bitdepth_8,0.6764028072357178,0.8315148775077161,0.08057299601747686,0.4547849742353001,0.0009652140228872409,0.0008927562560371723,0.49569635061461015,0.01075923670320747,0.06883116883116883,0.005338589793705788,0.0019544513471824324,0.4794450004895528,0.0007884552081425985
jsma,"{'attack_type': 'jsma', 'epsilon': 0.1, 'num_pixels': 610, 'channel': None}",compress_50,0.6825993259747823,0.8217651668595679,0.05004108989687253,0.43507082578676076,0.0018500563746186405,0.0016258521401878246,0.49645307345126216,0.007281048470979821,0.04660452729693742,0.00167118485905559,0.0011077119497973705,0.4794324537118276,0.0005297660827636719
jsma,"{'attack_type': 'jsma', 'epsilon': 9.1, 'num_pixels': 10, 'channel': None}",blur_5x5_default,0.6764717896779379,0.8371601924189815,0.042057392437304754,0.43898176779754566,0.002493562461334639,0.0021225901203383575,0.4967135573676462,0.010467289719626169,0.07272727272727272,0.0035617111514858893,0.0011114427754606079,0.46957945823669434,0.00044957796732584637
ccp,"{'attack_type': 'ccp', 'epsilon': 0.01, 'num_pixels': None, 'channel': 'B'}",noise_0.3,0.6602641145388285,0.8412292028356481,0.0007393880874100327,0.4209744537599179,0.0,0.0,0.49579475308641974,0.01518361581920904,0.06398809523809523,0.0078050120972711304,0.0024957236846172475,0.4811089187860489,0.001062457760175069
uap,"{'attack_type': 'uap', 'epsilon': 7.1, 'num_pixels': None, 'channel': None}",compress_90,0.6619706948598226,0.812099307966821,0.06526467789508171,0.43741000860380996,0.0007202159566325822,0.0006973372568178051,0.49528620499282255,0.009747041076815966,0.058577405857740586,0.0043615752008887175,0.0019472891078176357,0.4800584514935811,0.0008570055166880289
ccp,"{'attack_type': 'ccp', 'epsilon': 10.0, 'num_pixels': None, 'channel': 'G'}",noise_0.3,0.6602641145388285,0.8412292028356481,0.0007393880874100327,0.4209744537599179,0.0,0.0,0.49579475308641974,0.01518361581920904,0.06398809523809523,0.0078050120972711304,0.0024957236846172475,0.4677044798930486,0.00046995778878529865
jsma,"{'attack_type': 'jsma', 'epsilon': 0.1, 'num_pixels': 110, 'channel': None}",compress_75,0.6647066871325175,0.8399168716242285,0.06765114209104123,0.45281122881335656,0.0048532181947409,0.0042744884091958976,0.4975978432652016,0.01067016098839386,0.08636363636363636,0.007250337766639472,0.003139835484265109,0.46073779463768005,0.0007729381322860718
jsma,"{'attack_type': 'jsma', 'epsilon': 0.1, 'num_pixels': 610, 'channel': None}",compress_75,0.6647066871325175,0.8399168716242285,0.06765114209104123,0.45281122881335656,0.0048532181947409,0.0042744884091958976,0.4975978432652016,0.01067016098839386,0.08636363636363636,0.007250337766639472,0.003139835484265109,0.454857940475146,0.0003658781449000041
uap,"{'attack_type': 'uap', 'epsilon': 7.1, 'num_pixels': None, 'channel': None}",blur_5x5_default,0.6622373461723328,0.8382837215470679,0.0,0.41914186077353394,0.0,0.0,0.496223476080247,0.007293354943273906,0.025174825174825177,0.0016229019518493204,0.000793369654396341,0.4535636206467946,0.00029992063840230304
jsma,"{'attack_type': 'jsma', 'epsilon': 9.1, 'num_pixels': 110, 'channel': None}",bitdepth_1,0.6719170808792114,0.8310101393711419,0.011562267137180022,0.421119061343355,0.0021323653072771185,0.0021018726225288634,0.49672145495180764,0.013908205841446454,0.06915629322268327,0.006672800798641135,0.002677528050885137,0.4486412952343623,0.0003050665060679118
uap,"{'attack_type': 'uap', 'epsilon': 4.6, 'num_pixels': None, 'channel': None}",compress_90,0.6619706948598226,0.812099307966821,0.06526467789508171,0.43741000860380996,0.0007202159566325822,0.0006973372568178051,0.49528620499282255,0.009747041076815966,0.058577405857740586,0.0043615752008887175,0.0019472891078176357,0.46630839506785077,0.0004403740167617798
